,State,Technology,Count
385,WV,Fusion Center,1
386,AK,Face Recognition,1
387,WY,Automated License Plate Readers,1
388,WY,Camera Registry,1
389,NC,Fusion Center,1
390,WY,Fusion Center,1
391,Montana,Body-worn Cameras,1
392,AL,Face Recognition,1
393,MT,Fusion Center,1
394,AZ,Face Recognition,1
395,DE,Camera Registry,1
396,NE,Fusion Center,1
397,NE,Face Recognition,1
398,AZ,Gunshot Detection,1
399,AZ,Fusion Center,1
400,WA,Cell-site Simulator,1
401,AR,Gunshot Detection,1
402,AL,Fusion Center,1
403,WA,Fusion Center,1
404,MT,Face Recognition,1
405,WA,Real-Time Crime Center,1
406,AR,Fusion Center,1
407,AR,Face Recognition,1
408,AR,Automated License Plate Readers,1
409,VT,Fusion Center,1
410,TN,Face Recognition,1
411,DE,Cell-site Simulator,1
412,NM,Cell-site Simulator,1
413,OH,Predictive Policing,1
414,KY,Camera Registry,1
415,KS,Predictive Policing,1
416,KS,Gunshot Detection,1
417,OK,Cell-site Simulator,1
418,KS,Fusion Center,1
419,OK,Fusion Center,1
420,OK,Predictive Policing,1
421,KS,Face Recognition,1
422,Idaho,Body-worn Cameras,1
423,IN,Real-Time Crime Center,1
424,NM,Fusion Center,1
425,OR,Face Recognition,1
426,OR,Fusion Center,1
427,IN,Fusion Center,1
428,KY,Fusion Center,1
429,KY,Gunshot Detection,1
430,NM,Video Analytics,1
431,NY,Fusion Center,1
432,MD,Fusion Center,1
433,NV,Video Analytics,1
434,MA,Video Analytics,1
435,ME,Face Recognition,1
436,NV,Cell-site Simulator,1
437,MA,Cell-site Simulator,1
438,ME,Fusion Center,1
439,KY,Predictive Policing,1
440,NY,Predictive Policing,1
441,LA,Fusion Center,1
442,NY,Video Analytics,1
443,LA,Cell-site Simulator,1
444,MI,Cell-site Simulator,1
445,KY,Real-Time Crime Center,1
446,MI,Predictive Policing,1
447,NJ,Video Analytics,1
448,TN,Real-Time Crime Center,1
449,ID,Fusion Center,1
450,GU,Body-worn Cameras,1
451,SD,Automated License Plate Readers,1
452,GA,Video Analytics,1
453,SD,Face Recognition,1
454,SD,Fusion Center,1
455,SD,Ring/Neighbors Partnership,1
456,GA,Fusion Center,1
457,GA,Cell-site Simulator,1
458,NJ,Fusion Center,1
459,TN,Cell-site Simulator,1
460,DE,Real-Time Crime Center,1
461,NV,Real-Time Crime Center,1
462,TN,Fusion Center,1
463,DE,Gunshot Detection,1
464,DE,Fusion Center,1
465,SC,Gunshot Detection,1
466,SC,Fusion Center,1
467,MN,Predictive Policing,1
468,IA,Cell-site Simulator,1
469,PA,Predictive Policing,1
470,ID,Camera Registry,1
471,IA,Fusion Center,1
472,IA,Face Recognition,1
473,PR,Fusion Center,1
474,MN,Fusion Center,1
475,HI,Ring/Neighbors Partnership,1
476,GU,Fusion Center,1
477,HI,Real-Time Crime Center,1
478,RI,Fusion Center,1
479,HI,Fusion Center,1
480,MN,Gunshot Detection,1
481,HI,Body-worn Cameras,1
482,HI,Automated License Plate Readers,1
483,NC,Predictive Policing,1
